hyperedge_id,type,size,normal_count,abnormal_count,normal_ratio,abnormal_ratio,majority_label,majority_count,purity,entropy,is_bridge,vertices
HE_000299,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no595.jpg|y1104.jpg|y1274.jpg|y195.jpg|y261.jpg|y353.jpg|y4.jpg|y422.jpg|y534.jpg|y568.jpg|y949.jpg
HE_000300,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1229.jpg|no437.jpg|no498.jpg|y1032.jpg|y1128.jpg|y1203.jpg|y1279.jpg|y541.jpg|y655.jpg|y683.jpg|y949.jpg
HE_000301,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no370.jpg|no876.jpg|no896.jpg|no901.jpg|y1010.jpg|y1199.jpg|y1287.jpg|y357.jpg|y551.jpg|y712.jpg|y920.jpg
HE_000302,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no532.jpg|no766.jpg|no809.jpg|y100.jpg|y1162.jpg|y1242.jpg|y1293.jpg|y1447.jpg|y744.jpg|y868.jpg|y942.jpg
HE_000303,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,no1067.jpg|no1268.jpg|no164.jpg|no390.jpg|no563.jpg|y1299.jpg|y132.jpg|y1495.jpg|y750.jpg|y779.jpg|y877.jpg
HE_000304,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1446.jpg|no748.jpg|no899.jpg|y102.jpg|y1125.jpg|y130.jpg|y1337.jpg|y1346.jpg|y1484.jpg|y747.jpg|y777.jpg
HE_000305,knn,11,0,11,0.000000,1.000000,1,11,1.000000,0.000000,False,y117.jpg|y1172.jpg|y1303.jpg|y1386.jpg|y228.jpg|y63.jpg|y642.jpg|y819.jpg|y836.jpg|y874.jpg|y892.jpg
HE_000306,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1257.jpg|no1269.jpg|no1274.jpg|no1276.jpg|no1321.jpg|no410.jpg|no442.jpg|no62.jpg|no854.jpg|y1307.jpg|y756.jpg
HE_000307,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no417.jpg|no720.jpg|no873.jpg|no930.jpg|y1257.jpg|y1309.jpg|y1401.jpg|y1431.jpg|y1461.jpg|y780.jpg|y915.jpg
HE_000308,knn,11,6,5,0.545455,0.454545,0,6,0.545455,0.994030,True,no1354.jpg|no198.jpg|no243.jpg|no587.jpg|no891.jpg|no901.jpg|y1228.jpg|y1315.jpg|y468.jpg|y59.jpg|y761.jpg
HE_000309,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no891.jpg|y1081.jpg|y1323.jpg|y154.jpg|y210.jpg|y291.jpg|y309.jpg|y473.jpg|y59.jpg|y678.jpg|y810.jpg
HE_000310,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1418.jpg|no464.jpg|no885.jpg|y1080.jpg|y119.jpg|y1244.jpg|y1335.jpg|y734.jpg|y765.jpg|y90.jpg|y994.jpg
HE_000311,knn,11,6,5,0.545455,0.454545,0,6,0.545455,0.994030,True,no1446.jpg|no469.jpg|no588.jpg|no748.jpg|no784.jpg|no899.jpg|y1125.jpg|y130.jpg|y1337.jpg|y1484.jpg|y777.jpg
HE_000312,knn,11,6,5,0.545455,0.454545,0,6,0.545455,0.994030,True,no1226.jpg|no125.jpg|no1448.jpg|no493.jpg|no890.jpg|no899.jpg|y110.jpg|y1345.jpg|y1368.jpg|y748.jpg|y982.jpg
HE_000313,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no143.jpg|no162.jpg|no257.jpg|no359.jpg|y130.jpg|y1337.jpg|y1346.jpg|y1484.jpg|y747.jpg|y777.jpg|y982.jpg
HE_000314,knn,11,0,11,0.000000,1.000000,1,11,1.000000,0.000000,False,y1126.jpg|y1182.jpg|y1222.jpg|y126.jpg|y1352.jpg|y210.jpg|y243.jpg|y377.jpg|y64.jpg|y71.jpg|y810.jpg
HE_000315,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no1147.jpg|no294.jpg|no328.jpg|y1182.jpg|y1227.jpg|y1359.jpg|y1438.jpg|y527.jpg|y604.jpg|y702.jpg|y71.jpg
HE_000316,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,no404.jpg|no448.jpg|no497.jpg|no552.jpg|no786.jpg|y136.jpg|y1496.jpg|y77.jpg|y794.jpg|y881.jpg|y889.jpg
HE_000317,knn,11,10,1,0.909091,0.090909,0,10,0.909091,0.439497,False,no1023.jpg|no1443.jpg|no156.jpg|no159.jpg|no33.jpg|no411.jpg|no47.jpg|no84.jpg|no933.jpg|no952.jpg|y1366.jpg
HE_000318,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1005.jpg|no1328.jpg|no1499.jpg|no361.jpg|no392.jpg|no402.jpg|no508.jpg|no68.jpg|no858.jpg|y1381.jpg|y731.jpg
HE_000319,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no547.jpg|y117.jpg|y1172.jpg|y1303.jpg|y1386.jpg|y228.jpg|y642.jpg|y819.jpg|y836.jpg|y874.jpg|y892.jpg
HE_000320,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no417.jpg|no713.jpg|no873.jpg|no930.jpg|y1192.jpg|y1309.jpg|y1401.jpg|y1431.jpg|y1461.jpg|y54.jpg|y915.jpg
HE_000321,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no417.jpg|no720.jpg|y1257.jpg|y1309.jpg|y1401.jpg|y1430.jpg|y1431.jpg|y201.jpg|y363.jpg|y476.jpg|y557.jpg
HE_000322,knn,11,3,8,0.272727,0.727273,1,8,0.727273,0.845351,False,no211.jpg|no544.jpg|no876.jpg|y1069.jpg|y1136.jpg|y1203.jpg|y1232.jpg|y1435.jpg|y216.jpg|y298.jpg|y909.jpg
HE_000323,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1262.jpg|no1294.jpg|no294.jpg|no328.jpg|y1176.jpg|y1182.jpg|y1227.jpg|y1359.jpg|y1438.jpg|y702.jpg|y743.jpg
HE_000324,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no120.jpg|no532.jpg|no766.jpg|no87.jpg|y100.jpg|y1242.jpg|y1293.jpg|y1447.jpg|y1468.jpg|y744.jpg|y868.jpg
HE_000325,knn,11,1,10,0.090909,0.909091,1,10,0.909091,0.439497,False,no259.jpg|y1448.jpg|y243.jpg|y255.jpg|y334.jpg|y377.jpg|y527.jpg|y604.jpg|y686.jpg|y71.jpg|y711.jpg
HE_000326,knn,11,5,6,0.454545,0.545455,1,6,0.545455,0.994030,True,no1025.jpg|no417.jpg|no713.jpg|no873.jpg|no930.jpg|y1197.jpg|y1461.jpg|y54.jpg|y698.jpg|y780.jpg|y915.jpg
HE_000327,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1179.jpg|no120.jpg|no391.jpg|no432.jpg|no740.jpg|no856.jpg|no87.jpg|y1266.jpg|y1351.jpg|y1447.jpg|y1468.jpg
HE_000328,knn,11,9,2,0.818182,0.181818,0,9,0.818182,0.684038,False,no1126.jpg|no1226.jpg|no125.jpg|no1448.jpg|no469.jpg|no493.jpg|no588.jpg|no890.jpg|no899.jpg|y1337.jpg|y1484.jpg
HE_000329,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1335.jpg|no1349.jpg|no637.jpg|no651.jpg|y149.jpg|y154.jpg|y213.jpg|y291.jpg|y297.jpg|y471.jpg|y564.jpg
HE_000330,knn,11,4,7,0.363636,0.636364,1,7,0.636364,0.945660,True,no1268.jpg|no390.jpg|no44.jpg|no564.jpg|y1299.jpg|y1495.jpg|y65.jpg|y706.jpg|y750.jpg|y779.jpg|y877.jpg
HE_000331,knn,11,6,5,0.545455,0.454545,0,6,0.545455,0.994030,True,no151.jpg|no404.jpg|no448.jpg|no497.jpg|no552.jpg|no786.jpg|y136.jpg|y1496.jpg|y77.jpg|y881.jpg|y889.jpg
HE_000332,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no218.jpg|no637.jpg|y149.jpg|y154.jpg|y213.jpg|y230.jpg|y291.jpg|y297.jpg|y471.jpg|y678.jpg|y910.jpg
HE_000333,knn,11,2,9,0.181818,0.818182,1,9,0.818182,0.684038,False,no1435.jpg|no233.jpg|y16.jpg|y187.jpg|y218.jpg|y250.jpg|y340.jpg|y38.jpg|y481.jpg|y539.jpg|y630.jpg
HE_000334,knn,11,7,4,0.636364,0.363636,0,7,0.636364,0.945660,True,no1278.jpg|no1423.jpg|no220.jpg|no245.jpg|no359.jpg|no373.jpg|no801.jpg|y169.jpg|y327.jpg|y502.jpg|y645.jpg
